ID;Centro de Custo;Data Registro;Hora do registro;Vlr. Unit.;Qtde; Valor ;Material;Texto breve material;Local;Tipo
10078925;40018;01/01/2019;07:52:11;R$ 853,05;1;R$ 853,05;85002026;CHAPA POL,INCOLOR,ESP 8MM,3050X1220MM;REM01-2000-2100-X000002;Planejada
10078926;40006;01/01/2019;14:45:28;R$ 426,74;1;R$ 426,74;85002178;GAXETA U, 32X42X7MM;REM01-1000-1100-E000006;Corretiva
10078927;40005;01/01/2019;15:29:39;R$ 154,83;1;R$ 154,83;85002310;CONECTOR SENS,RT,M12X1,FEM,SICK/6029215;REM01-1000-1100-E000005;Planejada
10078928;40020;01/01/2019;22:58:54;R$ 55,67;1;R$ 55,67;85002332;OLEO MINERAL, AEROSOL,MOLIKOTE, P-0750-1;REM01-2000-2100-X000004;Planejada
10078929;40008;01/01/2019;21:40:12;R$ 41,18;1;R$ 41,18;85002363;REMOVEDOR A SECO, C/ 450G, 3M/303;REM01-1000-1200-E000002;Corretiva
10078930;40014;01/01/2019;15:58:13;R$ 17,85;1;R$ 17,85;85002368;TACO,DA ECT,BOSCH/2630.400.001;REM01-1000-1200-F000002;Corretiva
10078931;40008;02/01/2019;01:26:17;R$ 1.513,41;1;R$ 1.513,41;85001937;CARRETEL,DA BOMBA,WILDEN/04-3880-99;REM01-1000-1200-E000002;Corretiva
10078932;40001;02/01/2019;08:19:39;R$ 782,67;1;R$ 782,67;85001919;GAXETA,SEC ESP,22X30X7MM;REM01-1000-1100-E000001;Corretiva
10078933;40002;02/01/2019;15:09:00;R$ 67,48;3;R$ 202,44;85001808;ORING 78149;REM01-1000-1100-E000001;Planejada
10078934;40007;02/01/2019;05:30:54;R$ 197,09;1;R$ 197,09;85002279;COTOVELO TUBO/MACHO GIRATORIO,KXL06M5;REM01-1000-1200-E000001;Corretiva
10078935;40027;02/01/2019;18:51:21;R$ 162,58;1;R$ 162,58;85002304;GAXETA U, 15X23X5, 50MM, SOVEDACOESSV715;REM01-2000-2200-X000005;Corretiva
10078936;40003;02/01/2019;22:33:11;R$ 62,60;1;R$ 62,60;85002347;ANEL VED CONEX SANIT TC,DIAM 4POL,EPDM;REM01-1000-1100-E000003;Corretiva
10078937;40019;02/01/2019;14:34:34;R$ 23,65;1;R$ 23,65;85002381;LAMINA P/ESTIL,AC,LARG,110,70X18X0,50MM;REM01-2000-2100-X000003;Corretiva
10079822;40001;08/01/2020;12:02:20;R$ 100,57;1;R$ 100,57;85001823;PARAF ALLEN CIL,M5;REM01-1000-1100-E000001;Corretiva
10078939;40017;03/01/2019;08:39:28;R$ 259,78;1;R$ 259,78;85002493;CILINDRO PNEUM,FESTO/DSNU-25-50-PPV-A;REM01-2000-2100-X000001;Planejada
10078940;40008;03/01/2019;21:55:08;R$ 233,66;1;R$ 233,66;85002178;GAXETA U, 32X42X7MM;REM01-1000-1200-E000002;Corretiva
10078941;40012;03/01/2019;00:47:40;R$ 80,12;1;R$ 80,12;85002338;GAXETA,DA EVS,MAKITA/MK5688;REM01-1000-1200-E000006;Planejada
10078942;40006;04/01/2019;09:42:14;R$ 760,54;1;R$ 760,54;85001935;CORTA,DA ECH,/DES CH-C26-091;REM01-1000-1100-E000006;Corretiva
10078943;40033;04/01/2019;11:51:39;R$ 161,84;1;R$ 161,84;85002306;UNIAO TUBO,FESTO/SCK-PK-4;REM01-3000-3300-C000001;Corretiva
10078944;40002;04/01/2019;02:18:55;R$ 132,00;1;R$ 132,00;85002313;CORREIA,SIEGLING/E4/2 UO/U2 BRFDA;REM01-1000-1100-E000002;Corretiva
10078945;40008;04/01/2019;19:38:18;R$ 71,87;1;R$ 71,87;85002323;ANEL VED CONEX SANIT SMS,RETENROL/20751;REM01-1000-1200-E000002;Corretiva
10078946;40007;04/01/2019;19:25:03;R$ 23,84;1;R$ 23,84;85002381;LAMINA P/ESTIL,AC,LARG,110,70X18X0,50MM;REM01-1000-1200-E000001;Corretiva
