OS;Categoria;Linha;Equipamento;Descricao;InicioProg;TerminoProg;TempoPrevisto;InicioReal;TerminoReal;TempoParada;Oficina;Tipo;MP;SS;Status
OS89766;Pomadas;P-02;Esteira P-02;Corretiva banco;22/03/2021 21:36;23/03/2021 00:28;2,87;07/04/2021 23:45;08/04/2021 02:24;2,65;Mecânica;Corretiva;;SS47540;FECH
OS89768;Xarope;X-02;Seladora X-02;Corretiva banco;27/07/2021 14:24;27/07/2021 17:58;3,57;27/07/2021 14:24;27/07/2021 17:58;3,57;Elétrica;Corretiva;;SS47542;FECH
OS89769;Xarope;X-01;Encartuchadeira X-01;Corretiva banco;12/08/2021 14:24;12/08/2021 18:14;3,83;23/08/2021 17:02;23/08/2021 21:36;4,57;Elétrica;Corretiva;;;FECH
OS89770;Xarope;X-01;Encartuchadeira X-01;Corretiva banco;16/08/2021 04:48;16/08/2021 08:24;3,6;16/08/2021 04:48;16/08/2021 08:24;3,6;Elétrica;Corretiva;;;FECH
OS89771;Utilidades;Compressores;Compressor  - GA 160;Corretiva banco;18/12/2021 14:24;18/12/2021 16:33;2,15;18/12/2021 14:24;18/12/2021 16:33;2,15;Automação;Corretiva;;;FECH
OS89772;Pomadas;P-02;Paletrizadora P-02;Corretiva banco;21/05/2021 14:24;21/05/2021 18:41;4,28;18/10/2021 14:24;18/10/2021 18:41;4,28;Automação;Corretiva;;;FECH
OS89773;Xarope;X-01;Seladora de pacotes X-01;Corretiva banco;29/08/2021 12:00;29/08/2021 16:26;4,43;29/08/2021 12:00;29/08/2021 16:26;4,43;Elétrica;Corretiva;;;FECH
OS89775;Xarope;X-01;Paletrizadora X-01;Corretiva banco;02/05/2021 07:12;02/05/2021 09:40;2,47;29/09/2021 07:12;29/09/2021 09:40;2,47;Elétrica;Corretiva;;;FECH
OS89776;Pomadas;P-01;Seladora P-01;Corretiva banco;26/06/2021 09:36;26/06/2021 13:30;3,9;26/06/2021 09:36;26/06/2021 13:30;3,9;Mecânica;Corretiva;;;FECH
OS89777;Xarope;X-02;Encartuchadeira X-02;Corretiva banco;16/05/2021 14:24;16/05/2021 17:24;3;19/05/2021 20:16;20/05/2021 00:00;3,73;Elétrica;Corretiva;;;FECH
OS89778;Pomadas;P-02;Encartuchadeira P-02;Corretiva banco;16/04/2021 04:48;16/04/2021 07:16;2,47;21/04/2021 19:36;21/04/2021 21:36;2;Elétrica;Corretiva;;;FECH
OS89779;Pomadas;P-01;Seladora de pacotes P-01;Corretiva banco;10/06/2021 12:00;10/06/2021 13:36;1,6;10/06/2021 12:00;10/06/2021 13:36;1,6;Elétrica;Corretiva;;;FECH
OS89781;Pomadas;P-01;Envasadora P-01;Corretiva banco;25/01/2021 12:00;25/01/2021 16:10;4,17;28/02/2021 17:25;28/02/2021 21:36;4,18;Automação;Corretiva;;;FECH
OS89782;Pomadas;P-02;Encartuchadeira P-02;Corretiva banco;11/03/2021 09:36;11/03/2021 13:45;4,15;15/04/2021 12:53;15/04/2021 16:48;3,92;Mecânica;Corretiva;;;FECH
OS89783;Pomadas;P-02;Esteira P-02;Corretiva banco;13/01/2021 09:36;13/01/2021 12:40;3,07;08/02/2021 16:07;08/02/2021 19:12;3,08;Mecânica;Corretiva;;SS47557;FECH
OS89784;Xarope;X-02;Encartuchadeira X-02;Corretiva banco;07/07/2021 07:12;07/07/2021 10:04;2,87;07/07/2021 07:12;07/07/2021 10:04;2,87;Elétrica;Corretiva;;SS47558;FECH
OS89785;Pomadas;P-01;Seladora de pacotes P-01;Corretiva banco;05/08/2021 21:36;06/08/2021 02:24;4,8;05/08/2021 21:36;06/08/2021 02:24;4,8;Elétrica;Corretiva;;SS47559;FECH
OS89786;Pomadas;P-01;Envasadora P-01;Corretiva banco;26/02/2021 21:36;26/02/2021 22:37;1,02;28/02/2021 01:36;28/02/2021 02:24;0,8;Mecânica;Corretiva;;SS47560;FECH
OS89787;Pomadas;P-02;Envasadora P-02;Corretiva banco;29/10/2021 07:12;29/10/2021 10:32;3,33;29/10/2021 07:12;29/10/2021 10:32;3,33;Elétrica;Corretiva;;SS47561;FECH
OS89788;Pomadas;P-01;Esteira P-01;Corretiva banco;27/04/2021 14:24;27/04/2021 18:34;4,17;31/05/2021 21:44;01/06/2021 02:24;4,67;Elétrica;Corretiva;;SS47562;FECH
OS89789;Xarope;X-02;Seladora X-02;Corretiva banco;13/11/2021 21:36;14/11/2021 01:50;4,23;26/11/2021 15:25;26/11/2021 19:12;3,78;Automação;Corretiva;;SS47563;FECH
OS89790;Xarope;X-01;Seladora X-01;Corretiva banco;23/06/2021 12:00;23/06/2021 14:35;2,58;23/06/2021 12:00;23/06/2021 14:35;2,58;Mecânica;Corretiva;;SS47564;FECH
OS89791;Pomadas;P-01;Envasadora P-01;Corretiva banco;03/01/2021 16:48;03/01/2021 21:31;4,72;26/01/2021 17:06;26/01/2021 21:36;4,5;Mecânica;Corretiva;;SS47565;FECH
OS89792;Pomadas;Fabricação Pomadas;Mixer 1 Pomadas;Corretiva banco;19/03/2021 04:48;19/03/2021 05:52;1,07;10/04/2021 19:48;10/04/2021 21:36;1,8;Elétrica;Corretiva;;SS47566;FECH
OS89793;Pomadas;P-01;Paletrizadora P-01;Corretiva banco;24/06/2021 21:36;25/06/2021 00:02;2,43;27/06/2021 23:13;28/06/2021 02:24;3,18;Mecânica;Corretiva;;;FECH
OS89794;Pomadas;Fabricação Pomadas;Mixer 1 Pomadas;Corretiva banco;08/12/2021 16:48;08/12/2021 19:59;3,18;08/12/2021 16:48;08/12/2021 19:59;3,18;Elétrica;Corretiva;;SS47568;FECH
OS89795;Pomadas;P-02;Envasadora P-02;Corretiva banco;27/01/2021 02:24;27/01/2021 05:47;3,38;22/02/2021 13:39;22/02/2021 16:48;3,15;Automação;Corretiva;;SS47569;FECH
OS89796;Pomadas;P-01;Esteira P-01;Corretiva banco;12/02/2021 21:36;12/02/2021 22:58;1,37;18/03/2021 06:04;18/03/2021 07:12;1,13;Automação;Corretiva;;SS47570;FECH
OS89797;Pomadas;P-02;Envasadora P-02;Corretiva banco;09/04/2021 09:36;09/04/2021 12:47;3,18;25/04/2021 18:24;25/04/2021 21:36;3,2;Mecânica;Corretiva;;SS47571;FECH
OS89798;Xarope;X-02;Envasadora X-02;Corretiva banco;18/01/2021 12:00;18/01/2021 13:45;1,75;23/01/2021 08:05;23/01/2021 09:36;1,52;Mecânica;Corretiva;;SS47572;FECH
OS89799;Pomadas;Fabricação Pomadas;Mixer 1 Pomadas;Corretiva banco;07/01/2021 07:12;07/01/2021 12:12;5;20/01/2021 14:11;20/01/2021 19:12;5,02;Elétrica;Corretiva;;;FECH
OS89801;Pomadas;P-01;Seladora P-01;Corretiva banco;27/10/2021 02:24;27/10/2021 04:55;2,52;30/10/2021 02:31;30/10/2021 04:48;2,28;Mecânica;Corretiva;;SS47575;FECH
OS89802;Pomadas;P-01;Esteira P-01;Corretiva banco;16/11/2021 09:36;16/11/2021 11:18;1,7;18/11/2021 05:15;18/11/2021 07:12;1,95;Mecânica;Corretiva;;SS47576;FECH
OS89803;Pomadas;P-01;Envasadora P-01;Corretiva banco;02/03/2021 12:00;02/03/2021 13:12;1,2;08/03/2021 06:14;08/03/2021 07:12;0,97;Mecânica;Corretiva;;SS47577;FECH
OS89804;Pomadas;Fabricação Pomadas;Mixer 2 Pomadas;Corretiva banco;17/01/2021 14:24;17/01/2021 18:50;4,43;24/09/2021 14:24;24/09/2021 18:50;4,43;Mecânica;Corretiva;;SS47578;FECH
OS89805;Pomadas;Fabricação Pomadas;Mixer 2 Pomadas;Corretiva banco;11/06/2021 07:12;11/06/2021 12:02;4,83;29/06/2021 11:13;29/06/2021 16:48;5,58;Mecânica;Corretiva;;SS47579;FECH
OS89806;Pomadas;P-01;Envasadora P-01;Corretiva banco;14/06/2021 19:12;14/06/2021 20:45;1,55;14/06/2021 19:12;14/06/2021 20:45;1,55;Mecânica;Corretiva;;SS47580;FECH
OS89808;Xarope;X-02;Paletrizadora X-02;Corretiva banco;07/11/2021 02:24;07/11/2021 03:51;1,45;11/11/2021 17:29;11/11/2021 19:12;1,72;Mecânica;Corretiva;;SS47582;FECH
OS89809;Utilidades;Compressores;Compressor  - GA 160;Corretiva banco;29/08/2021 07:12;29/08/2021 08:54;1,7;29/08/2021 07:12;29/08/2021 08:54;1,7;Mecânica;Corretiva;;SS47583;FECH
OS89810;Xarope;X-01;Seladora X-01;Corretiva banco;07/09/2021 09:36;07/09/2021 13:17;3,68;25/09/2021 22:27;26/09/2021 02:24;3,95;Mecânica;Corretiva;;SS47584;FECH
OS89811;Xarope;Fabricação Xarope;Mixer 1 Xarope;Corretiva banco;15/02/2021 16:48;15/02/2021 19:45;2,95;17/02/2021 22:58;18/02/2021 02:24;3,43;Mecânica;Corretiva;;SS47585;FECH
OS89812;Pomadas;P-01;Seladora de pacotes P-01;Corretiva banco;21/05/2021 07:12;21/05/2021 12:08;4,93;27/05/2021 07:12;27/05/2021 12:08;4,93;Mecânica;Corretiva;;SS47586;FECH
OS89813;Pomadas;Fabricação Pomadas;Mixer 2 Pomadas;Corretiva banco;12/01/2021 19:12;12/01/2021 21:08;1,93;25/01/2021 21:34;26/01/2021 00:00;2,43;Mecânica;Corretiva;;;FECH
OS89814;Pomadas;P-01;Envasadora P-01;Corretiva banco;27/02/2021 16:48;27/02/2021 17:47;0,98;30/03/2021 12:56;30/03/2021 14:24;1,47;Elétrica;Corretiva;;SS47588;FECH
OS89815;Pomadas;P-02;Envasadora P-02;Corretiva banco;05/05/2021 09:36;05/05/2021 14:08;4,53;30/05/2021 12:01;30/05/2021 16:48;4,78;Mecânica;Corretiva;;SS47589;FECH
OS89817;Utilidades;Compressores;Compressor  - GA 55;Corretiva banco;25/11/2021 21:36;25/11/2021 23:06;1,5;25/11/2021 21:36;25/11/2021 23:06;1,5;Mecânica;Corretiva;;;FECH
