OS;Localizacao;Descricao;InicioProg;TerminoProg;TempoPrevisto;InicioReal;TerminoReal;TempoParada;Oficina;Tipo;MP;SS;Status
OS89766;REM01-1000-1200-E000005;Corretiva banco;22/03/2021 21:36;23/03/2021 00:28;2,87;07/04/2021 23:45;08/04/2021 02:24;2,65;Mecânica;Corretiva;;SS47540;FECH
OS89768;REM01-2000-2200-X000003;Corretiva banco;27/07/2021 14:24;27/07/2021 17:58;3,57;27/07/2021 14:24;27/07/2021 17:58;3,57;Elétrica;Corretiva;;SS47542;FECH
OS89769;REM01-2000-2100-X000002;Corretiva banco;12/08/2021 14:24;12/08/2021 18:14;3,83;23/08/2021 17:02;23/08/2021 21:36;4,57;Elétrica;Corretiva;;;FECH
OS89770;REM01-2000-2100-X000002;Corretiva banco;16/08/2021 04:48;16/08/2021 08:24;3,6;16/08/2021 04:48;16/08/2021 08:24;3,6;Elétrica;Corretiva;;;FECH
OS89771;REM01-3000-3100-C000002;Corretiva banco;18/12/2021 14:24;18/12/2021 16:33;2,15;18/12/2021 14:24;18/12/2021 16:33;2,15;Automação;Corretiva;;;FECH
OS89772;REM01-1000-1200-E000006;Corretiva banco;21/05/2021 14:24;21/05/2021 18:41;4,28;18/10/2021 14:24;18/10/2021 18:41;4,28;Automação;Corretiva;;;FECH
OS89773;REM01-2000-2100-X000004;Corretiva banco;29/08/2021 12:00;29/08/2021 16:26;4,43;29/08/2021 12:00;29/08/2021 16:26;4,43;Elétrica;Corretiva;;;FECH
OS89775;REM01-2000-2100-X000006;Corretiva banco;02/05/2021 07:12;02/05/2021 09:40;2,47;29/09/2021 07:12;29/09/2021 09:40;2,47;Elétrica;Corretiva;;;FECH
OS89776;REM01-1000-1100-E000003;Corretiva banco;26/06/2021 09:36;26/06/2021 13:30;3,9;26/06/2021 09:36;26/06/2021 13:30;3,9;Mecânica;Corretiva;;;FECH
OS89777;REM01-2000-2200-X000002;Corretiva banco;16/05/2021 14:24;16/05/2021 17:24;3;19/05/2021 20:16;20/05/2021 00:00;3,73;Elétrica;Corretiva;;;FECH
OS89778;REM01-1000-1200-E000002;Corretiva banco;16/04/2021 04:48;16/04/2021 07:16;2,47;21/04/2021 19:36;21/04/2021 21:36;2;Elétrica;Corretiva;;;FECH
OS89779;REM01-1000-1100-E000004;Corretiva banco;10/06/2021 12:00;10/06/2021 13:36;1,6;10/06/2021 12:00;10/06/2021 13:36;1,6;Elétrica;Corretiva;;;FECH
OS89781;REM01-1000-1100-E000001;Corretiva banco;25/01/2021 12:00;25/01/2021 16:10;4,17;28/02/2021 17:25;28/02/2021 21:36;4,18;Automação;Corretiva;;;FECH
OS89782;REM01-1000-1200-E000002;Corretiva banco;11/03/2021 09:36;11/03/2021 13:45;4,15;15/04/2021 12:53;15/04/2021 16:48;3,92;Mecânica;Corretiva;;;FECH
OS89783;REM01-1000-1200-E000005;Corretiva banco;13/01/2021 09:36;13/01/2021 12:40;3,07;08/02/2021 16:07;08/02/2021 19:12;3,08;Mecânica;Corretiva;;SS47557;FECH
OS89784;REM01-2000-2200-X000002;Corretiva banco;07/07/2021 07:12;07/07/2021 10:04;2,87;07/07/2021 07:12;07/07/2021 10:04;2,87;Elétrica;Corretiva;;SS47558;FECH
OS89785;REM01-1000-1100-E000004;Corretiva banco;05/08/2021 21:36;06/08/2021 02:24;4,8;05/08/2021 21:36;06/08/2021 02:24;4,8;Elétrica;Corretiva;;SS47559;FECH
OS89786;REM01-1000-1100-E000001;Corretiva banco;26/02/2021 21:36;26/02/2021 22:37;1,02;28/02/2021 01:36;28/02/2021 02:24;0,8;Mecânica;Corretiva;;SS47560;FECH
OS89787;REM01-1000-1200-E000001;Corretiva banco;29/10/2021 07:12;29/10/2021 10:32;3,33;29/10/2021 07:12;29/10/2021 10:32;3,33;Elétrica;Corretiva;;SS47561;FECH
OS89788;REM01-1000-1100-E000005;Corretiva banco;27/04/2021 14:24;27/04/2021 18:34;4,17;31/05/2021 21:44;01/06/2021 02:24;4,67;Elétrica;Corretiva;;SS47562;FECH
OS89789;REM01-2000-2200-X000003;Corretiva banco;13/11/2021 21:36;14/11/2021 01:50;4,23;26/11/2021 15:25;26/11/2021 19:12;3,78;Automação;Corretiva;;SS47563;FECH
OS89790;REM01-2000-2100-X000003;Corretiva banco;23/06/2021 12:00;23/06/2021 14:35;2,58;23/06/2021 12:00;23/06/2021 14:35;2,58;Mecânica;Corretiva;;SS47564;FECH
OS89791;REM01-1000-1100-E000001;Corretiva banco;03/01/2021 16:48;03/01/2021 21:31;4,72;26/01/2021 17:06;26/01/2021 21:36;4,5;Mecânica;Corretiva;;SS47565;FECH
OS89792;REM01-1000-1200-F000001;Corretiva banco;19/03/2021 04:48;19/03/2021 05:52;1,07;10/04/2021 19:48;10/04/2021 21:36;1,8;Elétrica;Corretiva;;SS47566;FECH
OS89793;REM01-1000-1100-E000006;Corretiva banco;24/06/2021 21:36;25/06/2021 00:02;2,43;27/06/2021 23:13;28/06/2021 02:24;3,18;Mecânica;Corretiva;;;FECH
OS89794;REM01-1000-1200-F000001;Corretiva banco;08/12/2021 16:48;08/12/2021 19:59;3,18;08/12/2021 16:48;08/12/2021 19:59;3,18;Elétrica;Corretiva;;SS47568;FECH
OS89795;REM01-1000-1200-E000001;Corretiva banco;27/01/2021 02:24;27/01/2021 05:47;3,38;22/02/2021 13:39;22/02/2021 16:48;3,15;Automação;Corretiva;;SS47569;FECH
OS89796;REM01-1000-1100-E000005;Corretiva banco;12/02/2021 21:36;12/02/2021 22:58;1,37;18/03/2021 06:04;18/03/2021 07:12;1,13;Automação;Corretiva;;SS47570;FECH
OS89797;REM01-1000-1200-E000001;Corretiva banco;09/04/2021 09:36;09/04/2021 12:47;3,18;25/04/2021 18:24;25/04/2021 21:36;3,2;Mecânica;Corretiva;;SS47571;FECH
OS89798;REM01-2000-2200-X000001;Corretiva banco;18/01/2021 12:00;18/01/2021 13:45;1,75;23/01/2021 08:05;23/01/2021 09:36;1,52;Mecânica;Corretiva;;SS47572;FECH
OS89799;REM01-1000-1200-F000001;Corretiva banco;07/01/2021 07:12;07/01/2021 12:12;5;20/01/2021 14:11;20/01/2021 19:12;5,02;Elétrica;Corretiva;;;FECH
OS89801;REM01-1000-1100-E000003;Corretiva banco;27/10/2021 02:24;27/10/2021 04:55;2,52;30/10/2021 02:31;30/10/2021 04:48;2,28;Mecânica;Corretiva;;SS47575;FECH
OS89802;REM01-1000-1100-E000005;Corretiva banco;16/11/2021 09:36;16/11/2021 11:18;1,7;18/11/2021 05:15;18/11/2021 07:12;1,95;Mecânica;Corretiva;;SS47576;FECH
OS89803;REM01-1000-1100-E000001;Corretiva banco;02/03/2021 12:00;02/03/2021 13:12;1,2;08/03/2021 06:14;08/03/2021 07:12;0,97;Mecânica;Corretiva;;SS47577;FECH
OS89804;REM01-1000-1200-F000002;Corretiva banco;17/01/2021 14:24;17/01/2021 18:50;4,43;24/09/2021 14:24;24/09/2021 18:50;4,43;Mecânica;Corretiva;;SS47578;FECH
OS89805;REM01-1000-1200-F000002;Corretiva banco;11/06/2021 07:12;11/06/2021 12:02;4,83;29/06/2021 11:13;29/06/2021 16:48;5,58;Mecânica;Corretiva;;SS47579;FECH
OS89806;REM01-1000-1100-E000001;Corretiva banco;14/06/2021 19:12;14/06/2021 20:45;1,55;14/06/2021 19:12;14/06/2021 20:45;1,55;Mecânica;Corretiva;;SS47580;FECH
OS89808;REM01-2000-2200-X000006;Corretiva banco;07/11/2021 02:24;07/11/2021 03:51;1,45;11/11/2021 17:29;11/11/2021 19:12;1,72;Mecânica;Corretiva;;SS47582;FECH
OS89809;REM01-3000-3100-C000002;Corretiva banco;29/08/2021 07:12;29/08/2021 08:54;1,7;29/08/2021 07:12;29/08/2021 08:54;1,7;Mecânica;Corretiva;;SS47583;FECH
OS89810;REM01-2000-2100-X000003;Corretiva banco;07/09/2021 09:36;07/09/2021 13:17;3,68;25/09/2021 22:27;26/09/2021 02:24;3,95;Mecânica;Corretiva;;SS47584;FECH
OS89811;REM01-1000-2200-F000001;Corretiva banco;15/02/2021 16:48;15/02/2021 19:45;2,95;17/02/2021 22:58;18/02/2021 02:24;3,43;Mecânica;Corretiva;;SS47585;FECH
OS89812;REM01-1000-1100-E000004;Corretiva banco;21/05/2021 07:12;21/05/2021 12:08;4,93;27/05/2021 07:12;27/05/2021 12:08;4,93;Mecânica;Corretiva;;SS47586;FECH
OS89813;REM01-1000-1200-F000002;Corretiva banco;12/01/2021 19:12;12/01/2021 21:08;1,93;25/01/2021 21:34;26/01/2021 00:00;2,43;Mecânica;Corretiva;;;FECH
OS89814;REM01-1000-1100-E000001;Corretiva banco;27/02/2021 16:48;27/02/2021 17:47;0,98;30/03/2021 12:56;30/03/2021 14:24;1,47;Elétrica;Corretiva;;SS47588;FECH
OS89815;REM01-1000-1200-E000001;Corretiva banco;05/05/2021 09:36;05/05/2021 14:08;4,53;30/05/2021 12:01;30/05/2021 16:48;4,78;Mecânica;Corretiva;;SS47589;FECH
OS89817;REM01-3000-3100-C000001;Corretiva banco;25/11/2021 21:36;25/11/2021 23:06;1,5;25/11/2021 21:36;25/11/2021 23:06;1,5;Mecânica;Corretiva;;;FECH
OS89818;REM01-3000-3200-T000002;Corretiva banco;05/06/2021 09:36;05/06/2021 12:07;2,52;20/06/2021 17:09;20/06/2021 19:12;2,05;Automação;Corretiva;;SS47592;FECH
OS89819;REM01-2000-2100-X000005;Corretiva banco;10/09/2021 16:48;10/09/2021 18:41;1,88;10/09/2021 16:48;10/09/2021 18:41;1,88;Automação;Corretiva;;SS47593;FECH
OS89820;REM01-2000-2200-X000001;Corretiva banco;13/05/2021 04:48;13/05/2021 06:01;1,22;29/05/2021 11:15;29/05/2021 12:00;0,75;Automação;Corretiva;;;FECH
OS89821;REM01-3000-3200-T000001;Corretiva banco;06/11/2021 04:48;06/11/2021 06:56;2,13;09/11/2021 10:20;09/11/2021 12:00;1,67;Elétrica;Corretiva;;SS47595;FECH
OS89822;REM01-1000-1200-E000003;Corretiva banco;11/08/2021 04:48;11/08/2021 08:12;3,4;11/08/2021 04:48;11/08/2021 08:12;3,4;Mecânica;Corretiva;;SS47596;FECH
OS89823;REM01-1000-1100-E000006;Corretiva banco;23/09/2021 21:36;24/09/2021 00:59;3,38;23/09/2021 21:36;24/09/2021 00:59;3,38;Mecânica;Corretiva;;SS47597;FECH
OS89824;REM01-1000-1100-E000001;Corretiva banco;20/01/2021 16:48;20/01/2021 21:18;4,5;27/09/2021 16:48;27/09/2021 21:18;4,5;Mecânica;Corretiva;;SS47598;FECH
OS89825;REM01-2000-2100-X000003;Corretiva banco;29/09/2021 02:24;29/09/2021 06:12;3,8;30/09/2021 03:51;30/09/2021 07:12;3,35;Mecânica;Corretiva;;;FECH
OS89826;REM01-1000-1200-E000002;Corretiva banco;12/11/2021 14:24;12/11/2021 16:16;1,87;12/11/2021 14:24;12/11/2021 16:16;1,87;Mecânica;Corretiva;;;FECH
OS89827;REM01-2000-2100-X000004;Corretiva banco;24/01/2021 19:12;24/01/2021 20:55;1,72;02/02/2021 08:21;02/02/2021 09:36;1,25;Mecânica;Corretiva;;;FECH
OS89828;REM01-1000-1200-E000003;Corretiva banco;02/03/2021 07:12;02/03/2021 10:26;3,23;17/03/2021 07:12;17/03/2021 10:26;3,23;Mecânica;Corretiva;;;FECH
OS89829;REM01-1000-1200-E000005;Corretiva banco;24/06/2021 07:12;24/06/2021 09:30;2,3;24/06/2021 07:12;24/06/2021 09:30;2,3;Elétrica;Corretiva;;;FECH
OS89830;REM01-1000-2200-F000002;Corretiva banco;13/11/2021 12:00;13/11/2021 17:02;5,03;13/11/2021 12:00;13/11/2021 17:02;5,03;Elétrica;Corretiva;;;FECH
OS89831;REM01-3000-3200-T000001;Corretiva banco;05/03/2021 07:12;05/03/2021 11:03;3,85;19/03/2021 12:12;19/03/2021 16:48;4,6;Mecânica;Corretiva;;;FECH
OS89832;REM01-1000-2200-F000001;Corretiva banco;13/03/2021 12:00;13/03/2021 15:18;3,3;25/03/2021 15:53;25/03/2021 19:12;3,32;Elétrica;Corretiva;;;FECH
OS89833;REM01-2000-2100-X000003;Corretiva banco;28/12/2021 14:24;28/12/2021 19:10;4,77;28/12/2021 14:24;28/12/2021 19:10;4,77;Elétrica;Corretiva;;;FECH
OS89834;REM01-2000-2100-X000006;Corretiva banco;22/09/2021 04:48;22/09/2021 05:52;1,07;22/09/2021 04:48;22/09/2021 05:52;1,07;Elétrica;Corretiva;;;FECH
OS89835;REM01-1000-1200-E000002;Corretiva banco;10/06/2021 14:24;10/06/2021 18:04;3,67;16/06/2021 08:19;16/06/2021 12:00;3,68;Mecânica;Corretiva;;;FECH
OS89836;REM01-1000-2200-F000001;Corretiva banco;08/08/2021 12:00;08/08/2021 13:30;1,5;22/08/2021 04:58;22/08/2021 07:12;2,23;Mecânica;Corretiva;;SS47610;FECH
OS89837;REM01-2000-2100-X000002;Corretiva banco;14/09/2021 04:48;14/09/2021 08:55;4,12;14/09/2021 04:48;14/09/2021 08:55;4,12;Mecânica;Corretiva;;SS47611;FECH
OS89839;REM01-2000-2100-X000004;Corretiva banco;07/05/2021 16:48;07/05/2021 19:00;2,2;20/05/2021 21:04;21/05/2021 00:00;2,93;Automação;Corretiva;;SS47613;FECH
OS89840;REM01-1000-1100-E000005;Corretiva banco;06/12/2021 21:36;06/12/2021 23:29;1,88;06/12/2021 21:36;06/12/2021 23:29;1,88;Elétrica;Corretiva;;SS47614;FECH
OS89843;REM01-1000-1100-E000004;Corretiva banco;28/05/2021 21:36;29/05/2021 00:02;2,43;13/05/2021 23:28;14/05/2021 02:24;2,93;Automação;Corretiva;;SS47617;FECH
OS89844;REM01-3000-3200-T000002;Corretiva banco;16/12/2021 21:36;17/12/2021 01:49;4,22;24/12/2021 20:15;25/12/2021 00:00;3,75;Elétrica;Corretiva;;SS47618;FECH
OS89845;REM01-1000-1200-F000001;Corretiva banco;12/02/2021 14:24;12/02/2021 16:42;2,3;17/02/2021 14:24;17/02/2021 16:42;2,3;Mecânica;Corretiva;;SS47619;FECH
OS89846;REM01-3000-3300-C000001;Corretiva banco;09/05/2021 07:12;09/05/2021 09:53;2,68;06/10/2021 07:12;06/10/2021 09:53;2,68;Elétrica;Corretiva;;SS47620;FECH
OS89847;REM01-2000-2100-X000003;Corretiva banco;17/12/2021 04:48;17/12/2021 07:01;2,22;17/12/2021 04:48;17/12/2021 07:01;2,22;Mecânica;Corretiva;;SS47621;FECH
OS89848;REM01-1000-1100-E000005;Corretiva banco;19/01/2021 12:00;19/01/2021 13:35;1,58;10/02/2021 22:24;11/02/2021 00:00;1,6;Automação;Corretiva;;;FECH
OS89849;REM01-2000-2200-X000005;Corretiva banco;02/10/2021 07:12;02/10/2021 12:10;4,97;11/10/2021 11:21;11/10/2021 16:48;5,45;Mecânica;Corretiva;;SS47623;FECH
OS89850;REM01-1000-1200-E000001;Corretiva banco;19/12/2021 07:12;19/12/2021 10:10;2,97;19/12/2021 07:12;19/12/2021 10:10;2,97;Mecânica;Corretiva;;SS47624;FECH
OS89851;REM01-1000-1200-E000004;Corretiva banco;16/03/2021 12:00;16/03/2021 15:48;3,8;16/04/2021 00:59;16/04/2021 04:48;3,82;Elétrica;Corretiva;;SS47625;FECH
OS89852;REM01-3000-3200-T000001;Corretiva banco;27/03/2021 14:24;27/03/2021 16:52;2,47;01/04/2021 18:24;01/04/2021 21:36;3,2;Elétrica;Corretiva;;SS47626;FECH
OS89853;REM01-2000-2100-X000004;Corretiva banco;09/02/2021 07:12;09/02/2021 08:25;1,22;24/02/2021 10:03;24/02/2021 12:00;1,95;Mecânica;Corretiva;;SS47627;FECH
OS89854;REM01-2000-2100-X000001;Corretiva banco;18/10/2021 09:36;18/10/2021 13:12;3,6;27/10/2021 03:21;27/10/2021 07:12;3,85;Mecânica;Corretiva;;SS47628;FECH
OS89855;REM01-3000-3300-C000001;Corretiva banco;20/01/2021 21:36;21/01/2021 01:39;4,05;30/01/2021 00:15;30/01/2021 04:48;4,55;Elétrica;Corretiva;;SS47629;FECH
OS89856;REM01-1000-1100-E000006;Corretiva banco;08/11/2021 12:00;08/11/2021 13:32;1,53;08/11/2021 12:00;08/11/2021 13:32;1,53;Mecânica;Corretiva;;SS47630;FECH
OS89857;REM01-1000-1200-E000005;Corretiva banco;29/05/2021 16:48;29/05/2021 19:43;2,92;27/05/2021 11:57;27/05/2021 14:24;2,45;Mecânica;Corretiva;;;FECH
OS89858;REM01-2000-2200-X000002;Corretiva banco;19/10/2021 07:12;19/10/2021 08:34;1,37;19/10/2021 07:12;19/10/2021 08:34;1,37;Mecânica;Corretiva;;SS47632;FECH
OS89860;REM01-1000-1200-E000002;Corretiva banco;05/11/2021 07:12;05/11/2021 12:12;5;15/11/2021 09:37;15/11/2021 14:24;4,78;Elétrica;Corretiva;;SS47634;FECH
OS89861;REM01-2000-2200-X000001;Corretiva banco;10/06/2021 16:48;10/06/2021 19:50;3,03;15/06/2021 16:23;15/06/2021 19:12;2,82;Mecânica;Corretiva;;SS47635;FECH
OS89862;REM01-1000-1100-E000002;Corretiva banco;20/05/2021 14:24;20/05/2021 19:16;4,87;22/05/2021 14:05;22/05/2021 19:12;5,12;Elétrica;Corretiva;;SS47636;FECH
OS89863;REM01-1000-1200-F000002;Corretiva banco;21/12/2021 09:36;21/12/2021 12:33;2,95;21/12/2021 09:36;21/12/2021 12:33;2,95;Elétrica;Corretiva;;;FECH
OS89864;REM01-2000-2100-X000005;Corretiva banco;29/05/2021 19:12;29/05/2021 20:26;1,23;22/05/2021 05:13;22/05/2021 07:12;1,98;Mecânica;Corretiva;;SS47638;FECH
OS89865;REM01-3000-3100-C000002;Corretiva banco;18/07/2021 07:12;18/07/2021 10:26;3,23;18/07/2021 07:12;18/07/2021 10:26;3,23;Mecânica;Corretiva;;SS47639;FECH
OS89866;REM01-1000-1200-E000005;Corretiva banco;27/07/2021 04:48;27/07/2021 07:17;2,48;30/07/2021 07:35;30/07/2021 09:36;2,02;Mecânica;Corretiva;;;FECH
OS89867;REM01-2000-2100-X000003;Corretiva banco;15/01/2021 16:48;15/01/2021 20:51;4,05;17/02/2021 00:59;17/02/2021 04:48;3,82;Mecânica;Corretiva;;SS47641;FECH
OS89868;REM01-2000-2200-X000003;Corretiva banco;20/11/2021 02:24;20/11/2021 05:55;3,52;20/11/2021 02:24;20/11/2021 05:55;3,52;Mecânica;Corretiva;;SS47642;FECH
OS89869;REM01-2000-2100-X000006;Corretiva banco;14/09/2021 14:24;14/09/2021 17:31;3,12;26/09/2021 18:43;26/09/2021 21:36;2,88;Mecânica;Corretiva;;SS47643;FECH
OS89870;REM01-2000-2200-X000003;Corretiva banco;26/11/2021 21:36;27/11/2021 01:23;3,78;26/11/2021 21:36;27/11/2021 01:23;3,78;Elétrica;Corretiva;;SS47644;FECH
OS89871;REM01-2000-2100-X000006;Corretiva banco;22/05/2021 09:36;22/05/2021 14:15;4,65;27/05/2021 12:23;27/05/2021 16:48;4,42;Elétrica;Corretiva;;SS47645;FECH
OS89872;REM01-2000-2200-X000004;Corretiva banco;07/12/2021 14:24;07/12/2021 18:14;3,83;16/12/2021 13:12;16/12/2021 16:48;3,6;Mecânica;Corretiva;;SS47646;FECH
OS89873;REM01-3000-3200-T000001;Corretiva banco;17/12/2021 04:48;17/12/2021 08:25;3,62;17/12/2021 04:48;17/12/2021 08:25;3,62;Automação;Corretiva;;;FECH
